_id,ltable_vin,rtable_vin,price_price_exm,price_price_anm,price_price_lev_dist,price_price_lev_sim,maker_maker_lev_dist,maker_maker_lev_sim,maker_maker_jar,maker_maker_jwn,maker_maker_exm,maker_maker_jac_qgm_3_qgm_3,miles_miles_exm,miles_miles_anm,miles_miles_lev_dist,miles_miles_lev_sim,exterior_color_exterior_color_jac_qgm_3_qgm_3,exterior_color_exterior_color_cos_dlm_dc0_dlm_dc0,exterior_color_exterior_color_jac_dlm_dc0_dlm_dc0,exterior_color_exterior_color_mel,exterior_color_exterior_color_lev_dist,exterior_color_exterior_color_lev_sim,exterior_color_exterior_color_nmw,exterior_color_exterior_color_sw,label,predicted,proba
84496,WBA4J3C50JBG91639,WBA4J3C53JBG95572,0.0,0.9752712366609486,3.0,0.5714285714285714,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.772523643603783,4.0,0.33333333333333337,0.0,0.0,0.0,0.5396825671195984,18.0,0.1428571428571429,-6.0,2.0,0,0,0.0
82898,WBAFU7C58BC876084,WBAFU7C58BC876084,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,9.0,1,1,1.0
32448,WA1LMBFE8DD012616,WA1LMBFE8DD012616,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5384615384615384,0.33333333333333337,0.2,0.9555555582046509,2.0,0.8888888888888888,16.0,16.0,1,1,1.0
65175,WBA5B3C51FD541680,WBA5B3C52FD548685,0.0,0.9535477912882869,4.0,0.4285714285714286,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9896667752089439,4.0,0.4285714285714286,0.0,0.0,0.0,0.41025641560554504,11.0,0.15384615384615385,-2.0,2.0,0,0,0.0
46378,WAUFFAFL0CN011052,WAUFFAFL0CN011052,0.5254237288135594,0.9881768947216071,1.4322033898305084,0.7953995157384989,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.42857142857142855,0.7071067811865475,0.5,0.7555555701255798,4.0,0.6,2.0,6.0,1,1,0.9
66279,WAUENAF4XJA128987,WA1BNAFY8J2017383,0.5254237288135594,0.9881768947216071,1.4322033898305084,0.7953995157384989,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.4,0.3333333333333333,0.33333333333333337,0.2,0.7305728197097778,10.0,0.5652173913043479,11.0,11.0,0,0,0.0
2453,4JGDA5HB8FA459261,WDDHF8JB7FB135298,0.0,0.9844889668543995,4.0,0.4285714285714286,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.965184368491976,5.0,0.2857142857142857,0.0,0.0,0.0,0.39393940567970276,10.0,0.09090909090909094,-6.0,1.0,0,0,0.0
38760,WBA4Z3C57JEA31640,WBA4Z3C57JEA31640,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1,1,1.0
6962,WBA3C3C56FP663843,WBA3C3C56FP663843,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,9.0,1,1,1.0
928,JTJBARBZXF2002726,JTJBARBZ4F2032529,0.0,0.95,3.0,0.5714285714285714,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.99457079635924,3.0,0.5714285714285714,0.0,0.0,0.0,0.49277037382125854,15.0,0.21052631578947367,-2.0,2.0,0,0,0.0
